V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
31,0,0,24,1,2250,40000,24,3747,MC,0,17.5,MALE,SELF,OWNED,10-12-1975,38,1,1,0,40000,0,40000,,40000,,,0,0,0,TIER 4,0
32,0,0,26,0,1397,28900,30,1379,MO,0,18,MALE,SELF,OWNED,04-08-1960,54,1,1,0,,0,,,28900,,,2,2,0,TIER 4,0
33,0,0,23,0,1614,28900,24,1379,MO,0,17,MALE,SELF,OWNED,20-08-1981,33,3,2,0,,0,,,28900,,,2,1,0,TIER 4,0
34,0,0,27,0,1832,37900,30,1379,MC,0,18,MALE,SELF,OWNED,01-01-1974,40,1,1,0,,0,,,37900,,,0,0,0,TIER 4,0
35,0,0,32,0,2763,63350,36,1379,MC,0,19,MALE,SELF,RENT,20-05-1983,31,14,10,3,94000,0,,94000,63350,29,34,1,0,0,TIER 4,0
36,0,2,24,4,2172,38900,24,1379,MC,0,17,MALE,SELF,OWNED,20-05-1988,26,1,1,0,,0,,,38900,,,0,0,0,TIER 4,0
37,0,2,24,2,2964,56900,24,1898,MC,0,12.5,MALE,SELF,OWNED,07-11-1992,21,3,3,0,25000,0,25000,,56900,,,0,0,0,TIER 4,0
38,0,1,24,2,1940,34900,24,1377,MC,0,16.7,MALE,SAL,OWNED,01-01-1993,21,1,1,0,,0,,,34900,,,6,6,3,TIER 4,0
39,0,0,32,0,1655,42400,36,1379,MC,0,13.5,MALE,SELF,OWNED,10-06-1983,31,6,2,4,25465,0,,25465,42400,35,40,1,1,1,TIER 4,0
40,0,0,32,1,2026,46900,36,1680,MC,0,18.5,MALE,SELF,OWNED,19-02-1980,34,1,1,0,,0,,,46900,,,0,0,0,TIER 4,0
41,0,0,27,0,1494,30900,30,1379,MO,0,18,MALE,SAL,OWNED,20-06-1965,49,1,1,0,,0,,,30900,,,0,0,0,TIER 4,0
42,0,1,27,2,1397,28900,30,1379,MO,0,18,MALE,SELF,OWNED,20-06-1976,38,6,6,0,,0,,,28900,,,0,0,0,TIER 4,0
43,0,0,27,4,1383,28600,30,1379,MO,0,18,MALE,SELF,OWNED,10-06-1966,48,2,2,0,,0,,,28600,,,3,2,0,TIER 4,1
44,0,0,27,0,2074,42900,30,1849,MC,0,18,MALE,SELF,OWNED,01-09-1989,25,1,1,0,,0,,,42900,,,0,0,0,TIER 4,0
45,0,0,24,0,1375,26400,24,1899,MO,0,12.5,MALE,SELF,OWNED,01-01-1976,38,1,1,0,,0,,,26400,,,0,0,0,TIER 4,0
46,1,0,24,5,2234,40000,24,1516,MC,0,17,MALE,SAL,,07-08-1958,56,1,1,0,,0,,,40000,,,0,0,0,TIER 4,0
47,0,0,24,1,1728,32900,24,1377,SC,0,13,MALE,SAL,OWNED,12-05-1991,23,7,7,0,7000,0,7000,,32900,,,0,0,0,TIER 4,0
48,0,2,24,2,1494,28900,24,1379,MO,0,12,MALE,SELF,OWNED,20-05-1964,50,1,1,0,,0,,,28900,,,0,0,0,TIER 4,0
49,0,0,28,0,2606,53900,30,1379,MC,0,18,MALE,SELF,OWNED,20-02-1993,21,1,1,0,,0,,,53900,,,0,0,0,TIER 4,0
50,0,0,32,0,1655,42400,36,1379,MC,0,13.5,MALE,SELF,OWNED,20-06-1976,38,1,1,0,,0,,,42400,,,0,0,0,TIER 4,0
51,0,0,24,0,2047,36650,24,3864,MC,0,17,MALE,SELF,OWNED,01-01-1988,26,1,1,0,,0,,,36650,,,0,0,0,TIER 4,0
52,0,0,23,0,1558,27900,24,1794,MO,0,17,MALE,SELF,OWNED,10-09-1972,41,1,1,0,,0,,,27900,,,0,0,0,TIER 4,0
53,0,1,28,2,2226,50400,30,1379,SC,0,13,MALE,SAL,RENT,10-08-1975,38,3,1,2,500000,0,,500000,50400,34,,7,7,3,TIER 4,0
54,0,0,30,4,2065,42350,30,4284,MC,0,18.5,MALE,SELF,RENT,01-07-1988,26,1,1,0,,0,,,42350,,,0,0,0,TIER 4,0
55,0,0,25,0,1943,40900,30,2885,MC,1,17,FEMALE,HOUSEWIFE,OWNED,06-07-1979,35,1,1,0,,0,,,40900,,,0,0,0,TIER 4,0
56,0,2,26,4,2221,48900,30,1898,SC,0,14.5,FEMALE,SELF,OWNED,01-01-1983,31,1,1,0,48900,0,48900,,48900,,,0,0,0,TIER 4,0
57,0,0,26,3,2291,47400,30,1379,SC,0,18,MALE,SAL,OWNED,10-09-1974,40,1,1,0,,0,,,47400,,,0,0,0,TIER 4,0
58,0,0,24,0,1614,28900,24,1379,MO,0,17,MALE,SELF,OWNED,15-09-1970,44,1,1,0,,0,,,28900,,,6,6,3,TIER 4,0
59,0,0,26,0,1873,42400,30,1379,MC,0,13,MALE,SELF,OWNED,15-06-1981,33,2,2,0,,0,,,42400,,,0,0,0,TIER 4,0
60,0,0,26,1,2026,41900,30,2574,MC,0,18,MALE,SELF,OWNED,23-07-1980,34,1,1,0,,0,,,41900,,,0,0,0,TIER 4,0
61,0,0,24,2,2084,39900,24,1377,SC,2,12.65,MALE,SAL,OWNED,25-12-1972,41,14,9,5,900000,0,900000,339326,42000,61,,8,5,2,TIER 4,0
62,0,0,26,1,1873,42400,30,1379,MC,0,13,MALE,SELF,RENT,04-11-1969,45,1,1,0,,0,,,42400,,,0,0,0,TIER 4,0
63,0,0,24,1,1530,27400,24,2574,MO,0,17,MALE,SELF,OWNED,12-06-1982,32,12,12,0,25500,0,25500,,27400,,,8,2,0,TIER 4,0
64,0,4,30,4,1851,41900,30,1379,MC,0,13,MALE,SAL,OWNED,10-11-1975,38,1,1,0,,0,,,41900,,,0,0,0,TIER 4,0
65,0,0,24,0,1502,26900,24,1648,MO,0,17,MALE,SELF,OWNED,02-04-1963,51,1,1,0,,0,,,26900,,,0,0,0,TIER 4,0
66,0,0,24,0,2280,41900,24,2865,MC,1,15.29,MALE,SELF,OWNED,16-09-1963,51,1,1,0,,0,,,41900,,,0,0,0,TIER 4,0
67,0,1,32,3,1583,41900,36,1244,SC,2,11.99,FEMALE,SELF,OWNED,05-09-1980,33,1,1,0,,0,,,41900,,,0,0,0,TIER 3,0
68,0,1,24,6,1558,27900,24,2574,MO,0,17,MALE,SELF,OWNED,11-03-1968,46,1,1,0,,0,,,27900,,,0,0,0,TIER 4,0
69,0,1,28,1,1939,43900,30,2803,MC,0,13,MALE,SELF,OWNED,08-08-1972,42,2,1,1,,0,,,43900,73,,0,0,0,TIER 4,0
70,0,0,30,0,1796,46000,36,1154,MC,4,13.5,MALE,SAL,OWNED,01-01-1963,51,0,0,0,,0,,,,,,0,0,0,TIER 3,0
71,0,0,24,0,1155,23000,24,1152,MO,4,10.25,MALE,SELF,OWNED,05-12-1975,38,1,1,0,,0,,,23000,,,1,1,0,TIER 3,0
72,1,1,24,3,2476,44400,24,1733,MC,0,16.9,MALE,SELF,OWNED,02-04-1974,40,6,5,1,48318,0,,48318,44400,,,4,4,3,TIER 3,0
73,0,0,22,0,1876,33700,24,1733,MC,0,16.8,MALE,SELF,OWNED,06-05-1956,58,1,1,0,,0,,,33700,,,0,0,0,TIER 3,0
74,0,0,26,0,1222,26900,30,1545,MO,2,14.5,MALE,SELF,OWNED,18-12-1992,22,1,1,0,,0,,,26900,,,1,0,0,TIER 3,0
75,0,2,24,2,1459,28700,24,1244,MO,1,10.99,MALE,SAL,OWNED,28-08-1985,29,1,1,0,,0,,,28700,,,0,0,0,TIER 3,0
76,0,0,24,0,2232,43900,24,1244,SC,1,10.99,FEMALE,SELF,RENT,22-12-1966,48,2,2,0,,0,,,43900,,,0,0,0,TIER 3,0
77,0,1,24,1,2516,49500,24,3680,SC,1,10.99,MALE,SAL,RENT,27-03-1989,25,5,1,3,3948,0,,,49500,,61,0,0,0,TIER 3,0
78,0,1,27,1,1729,39900,30,1244,SC,0,12,FEMALE,SAL,OWNED,08-10-1981,33,2,2,0,396000,0,435900,,39900,,,6,6,3,TIER 3,0
79,0,3,33,4,1946,50400,36,1244,SC,1,13,MALE,SELF,OWNED,03-12-1989,24,0,0,0,,0,,,,,,0,0,0,TIER 3,1
80,0,0,24,0,2221,42900,24,3641,MC,3,12.12,MALE,SAL,OWNED,01-01-1973,41,2,2,0,,0,,,42900,,,0,0,0,TIER 3,0
81,0,0,24,0,1967,38700,24,1244,SC,1,10.99,MALE,SAL,OWNED,16-12-1985,28,1,1,0,,0,,,38700,,,0,0,0,TIER 3,0
82,0,1,24,2,1994,38000,24,1154,MC,2,12.95,MALE,SELF,OWNED,16-06-1984,30,1,1,0,,0,,,38000,,,1,0,0,TIER 3,0
83,0,0,24,2,2079,40900,24,1244,SC,1,10.99,MALE,SAL,OWNED,28-03-1986,28,1,1,0,,0,,,40900,,,12,11,5,TIER 3,0
84,0,0,31,1,1715,44900,36,1244,SC,1,12.5,FEMALE,SAL,OWNED,23-07-1972,42,3,1,2,,0,,,44900,,32,0,0,0,TIER 3,0
85,0,2,32,4,1747,43900,36,1244,MC,0,14.41,MALE,SAL,RENT,08-08-1979,35,1,1,0,,0,,,43900,,,4,4,1,TIER 3,1
86,0,0,33,1,1137,28337,36,1244,MO,0,14.8,MALE,SELF,OWNED,05-07-1972,42,3,2,1,,0,,,45000,,23,0,0,0,TIER 3,0
87,0,0,24,1,1514,27029,24,1733,MO,0,17.2,MALE,SELF,OWNED,10-11-1977,36,1,1,0,,0,,,27029,,,0,0,0,TIER 3,0
88,0,1,22,2,2333,45900,24,3892,SC,1,10.99,FEMALE,SAL,OWNED,01-01-1991,23,4,3,1,300000,0,300000,,45900,,46,0,0,0,TIER 3,0
89,0,0,32,1,1681,45500,36,3680,SC,0,10.99,FEMALE,SAL,OWNED,26-07-1981,33,2,1,0,100000,0,,,45500,,,0,0,0,TIER 3,0
90,0,3,33,4,1448,37900,36,1244,SC,1,12.5,MALE,SELF,OWNED,07-09-1962,52,7,2,5,305000,0,109250,317800,37900,125,40,5,5,2,TIER 3,1
91,0,0,28,0,988,22725,30,1244,MO,0,12.15,MALE,SELF,OWNED,04-09-1989,24,12,4,7,700000,0,700000,43663,40000,,58,0,0,0,TIER 3,0
92,0,0,31,0,1461,35900,36,1545,MC,2,15.5,MALE,SELF,OWNED,08-10-1975,38,1,1,0,,0,,,35900,,,0,0,0,TIER 3,0
93,0,0,36,0,1798,47900,36,1520,MC,2,11.7,MALE,SELF,OWNED,01-01-1982,32,3,3,0,45131,0,45131,,53000,,,6,6,3,TIER 2,0
94,0,1,35,1,1658,43400,36,1912,SC,1,12.5,MALE,SAL,OWNED,02-12-1987,27,15,2,11,108565,0,,244197,43400,58,76,8,8,1,TIER 1,0
95,0,0,33,0,1734,43850,36,1487,MC,0,14.1,MALE,SELF,OWNED,13-11-1985,28,8,3,5,1134259,0,2266305,153979,43850,31,55,24,24,12,TIER 1,1
96,0,0,33,1,1514,37500,36,3273,SC,0,15.1,FEMALE,SELF,OWNED,21-02-1984,30,2,1,0,,0,,,37500,,,0,0,0,TIER 1,0
97,0,0,34,0,1740,45900,36,1496,SC,2,12.15,MALE,SAL,OWNED,02-10-1991,22,7,3,4,406532,0,479532,30186,73000,,53,1,0,0,TIER 1,0
98,0,0,33,0,1933,48900,36,1487,SC,0,14.1,MALE,SAL,OWNED,21-07-1984,29,1,1,0,,0,,,48900,,,0,0,0,TIER 1,0
99,0,1,35,1,1571,39000,36,3521,MC,0,15,MALE,SELF,OWNED,01-06-1968,46,1,1,0,,0,,,39000,,,0,0,0,TIER 1,0
100,0,0,34,0,1890,46900,36,1796,SC,0,15,FEMALE,SAL,OWNED,14-08-1986,27,6,5,1,81000,0,161000,,46900,,95,1,0,0,TIER 2,0
101,0,0,28,2,1931,42900,30,2028,MC,0,14,MALE,SELF,OWNED,06-11-1970,43,6,5,1,310000,0,310000,,42900,,32,6,5,3,TIER 2,0
102,0,0,24,0,1527,28400,24,1520,MO,0,14.5,MALE,SELF,OWNED,01-06-1969,45,9,2,7,70973,0,,198170,38900,,,6,6,3,TIER 2,0
103,0,0,33,0,1417,35900,36,2028,MC,0,14,MALE,SELF,OWNED,05-09-1965,48,1,1,0,,0,,,35900,,,3,0,0,TIER 2,0
104,0,1,28,1,2163,50900,30,1520,SC,2,10.99,MALE,SAL,OWNED,01-06-1989,25,5,5,0,,0,,,50900,,,9,3,0,TIER 2,0
105,0,2,36,6,1946,50400,36,2874,MC,0,13,MALE,SAL,OWNED,03-06-1991,22,5,2,3,60000,0,,85000,50400,31,37,2,1,0,TIER 2,0
106,0,1,28,1,1873,42400,30,2874,MC,0,13,MALE,SELF,OWNED,10-10-1988,25,4,1,2,133000,0,,159900,42400,41,,7,6,3,TIER 2,0
107,0,0,34,0,1447,35400,36,1520,SC,0,15.7,MALE,SAL,OWNED,23-07-1971,42,4,3,1,1,0,,1,35400,,,0,0,0,TIER 2,0
108,0,1,36,1,1488,37000,36,3273,MC,0,14.9,MALE,SELF,OWNED,01-08-1987,26,1,1,0,,0,,,37000,,,0,0,0,TIER 1,0
109,0,3,33,3,1664,43900,36,2263,SC,2,12.15,MALE,SAL,OWNED,11-12-1987,26,6,2,4,43900,0,43900,23346,45000,,96,10,6,3,TIER 1,0
110,0,0,34,0,2012,50000,36,1477,SC,0,14.95,FEMALE,SELF,OWNED,15-10-1974,39,1,1,0,,0,,,50000,,,0,0,0,TIER 1,0
111,0,0,33,1,1595,39600,36,3273,MC,0,15,MALE,SELF,OWNED,01-01-1982,32,2,2,0,,0,,,39600,,,0,0,0,TIER 1,0
112,0,0,31,0,1753,43500,36,1649,SC,0,15,MALE,SAL,OWNED,12-04-1982,32,3,2,1,50000,0,,50000,43500,34,,0,0,0,TIER 2,0
113,0,0,31,0,1808,46400,36,1520,MC,2,13.4,MALE,SAL,OWNED,16-06-1984,30,1,1,0,,0,,,46400,,,0,0,0,TIER 2,0
114,0,0,32,0,1937,47400,36,1796,SC,0,15.7,MALE,SAL,OWNED,12-09-1975,39,5,1,4,60000,0,,106177,47400,28,,0,0,0,TIER 2,0
115,0,0,31,0,1795,47500,36,1536,SC,2,11.99,MALE,SELF,OWNED,13-10-1972,42,3,1,1,,0,,,47500,,22,0,0,0,TIER 2,0
116,0,1,24,1,2600,48000,24,1649,SC,0,15,MALE,SELF,OWNED,28-12-1967,46,1,1,0,,0,,,48000,,,0,0,0,TIER 2,0
117,0,0,24,0,2404,46900,24,1537,SC,0,11.5,MALE,SAL,RENT,04-12-1975,38,8,7,0,,0,,,46900,,,1,0,0,TIER 2,0
118,0,1,24,2,2267,42900,24,3413,MC,0,13.4,MALE,SAL,OWNED,01-01-1967,47,1,1,0,,0,,,42900,,,6,6,3,TIER 2,0
119,0,0,33,1,1361,35900,36,1480,SC,2,12.15,MALE,SAL,RENT,20-05-1983,30,4,1,2,,0,,,35900,,46,0,0,0,TIER 1,0
120,0,2,34,2,2056,50400,36,1796,SC,0,15.6,MALE,SAL,OWNED,10-03-1972,42,3,2,1,,0,,,50400,,31,0,0,0,TIER 2,0
121,0,0,28,0,1895,42900,30,2874,SC,0,13,FEMALE,SELF,OWNED,14-01-1981,33,3,1,0,,0,,,42900,,,6,6,3,TIER 2,0
122,0,0,32,0,1369,37900,36,2028,SC,0,10,MALE,SAL,OWNED,01-06-1976,38,1,1,0,,0,,,37900,,,0,0,0,TIER 2,0
123,0,0,24,1,2162,39900,24,1536,SC,0,15,MALE,SELF,RENT,22-10-1960,53,3,2,0,,0,,,55074,,,0,0,0,TIER 2,0
124,0,0,32,0,1850,46900,36,1649,SC,0,14,MALE,SELF,OWNED,17-07-1976,38,3,1,2,,0,,,46900,,69,0,0,0,TIER 2,0
125,0,0,29,0,1873,42400,30,2874,MC,0,13,MALE,SELF,OWNED,04-06-1980,34,4,4,0,650000,0,650000,,42400,,,0,0,0,TIER 2,0
126,0,0,24,0,2410,45900,24,2874,SC,0,13,FEMALE,SAL,OWNED,14-11-1985,29,1,1,0,,0,,,45900,,,0,0,0,TIER 2,0
127,0,0,28,0,1895,42900,30,2028,MC,0,13,MALE,SAL,OWNED,15-10-1994,19,1,1,0,,0,,,42900,,,0,0,0,TIER 2,0
128,0,0,30,0,2381,63300,36,1479,MC,3,11.8,MALE,SAL,OWNED,15-08-1980,34,4,1,3,100000,0,,112174,63300,25,28,0,0,0,TIER 1,0
129,0,0,28,1,1962,44000,30,4005,MC,0,13.5,MALE,SAL,OWNED,23-08-1993,21,3,2,1,44000,0,44000,,48047,,36,0,0,0,TIER 1,0
130,0,0,24,0,2138,45000,24,1477,SC,2,6.99,MALE,SAL,OWNED,02-03-1969,45,4,1,3,,0,,,45000,,56,0,0,0,TIER 1,0
131,0,1,35,2,1750,43900,36,2108,MC,0,14.5,MALE,SELF,OWNED,03-06-1981,33,1,1,0,,0,,,43900,,,6,6,3,TIER 1,0
132,0,2,30,3,1907,43000,30,4005,MC,0,13.2,MALE,SELF,OWNED,09-04-1966,48,1,1,0,,0,,,43000,,,4,1,0,TIER 1,0
133,0,0,24,0,1760,42700,30,1496,MC,4,9.45,MALE,SELF,OWNED,03-07-1979,35,4,3,1,30300,0,30300,,42700,,29,6,6,3,TIER 1,0
134,0,1,33,1,1068,27000,36,3372,MO,0,14.1,MALE,SELF,OWNED,01-06-1980,34,11,5,6,139416,0,,139416,46000,18,32,2,1,0,TIER 1,0
135,0,0,33,0,2359,62100,36,4000,MC,2,12.25,MALE,SAL,OWNED,01-06-1970,44,2,1,1,295,0,,295,62100,,,0,0,0,TIER 1,0
136,0,0,23,0,2291,43500,24,1496,MC,0,13.2,MALE,SELF,RENT,04-10-1971,43,7,5,2,,0,,,46000,145,,5,5,2,TIER 1,0
137,0,0,24,0,2380,47000,24,1496,SC,0,10.75,MALE,SAL,OWNED,08-02-1969,45,6,2,4,42661,0,,42661,118000,,73,0,0,0,TIER 1,0
138,0,0,28,0,1600,40000,30,1487,SC,2,7.99,MALE,SELF,OWNED,02-07-1992,22,10,1,8,16230,0,,16230,40000,,74,0,0,0,TIER 1,0
139,0,0,32,0,1429,40500,36,3273,SC,2,8.99,MALE,SELF,OWNED,03-02-1966,48,4,2,1,,0,,,40500,,43,0,0,0,TIER 1,0
140,0,3,36,4,1894,48000,36,4005,SC,0,14,MALE,SAL,RENT,20-07-1976,38,0,0,0,,0,,,,,,0,0,0,TIER 1,0
141,0,0,32,0,1911,50400,36,1496,SC,2,12.15,MALE,SELF,RENT,13-05-1984,30,17,16,1,29999,0,,29999,50400,,24,1,0,0,TIER 1,0
142,0,2,35,3,2009,53000,36,1496,SC,2,12.15,FEMALE,SELF,OWNED,18-01-1989,25,1,1,0,,0,,,53000,,,3,2,1,TIER 1,0
143,0,3,27,3,1963,43900,30,1487,SC,0,13.65,FEMALE,SELF,OWNED,19-08-1982,32,1,1,0,,0,,,43900,,,4,2,0,TIER 1,0
144,0,0,26,0,1800,45000,30,1487,SC,2,7.99,FEMALE,SAL,OWNED,24-11-1980,33,8,1,7,45000,0,45000,,45000,,51,3,2,0,TIER 1,0
145,0,0,32,0,1775,44500,36,1496,SC,0,14.52,MALE,SELF,OWNED,05-04-1984,30,11,5,5,326561,0,835690,46250,44500,37,48,5,3,1,TIER 1,0
146,0,0,23,1,2316,44000,24,1487,SC,0,13.15,MALE,SELF,OWNED,30-09-1974,40,7,5,1,422376,0,466376,28596,44000,,,4,4,1,TIER 1,0
147,0,0,33,0,1235,35000,36,2325,SC,2,8.99,FEMALE,SELF,OWNED,01-06-1976,38,3,1,2,,0,,,35000,,72,0,0,0,TIER 1,0
148,0,0,31,0,1588,45000,36,3273,SC,2,8.99,MALE,SELF,OWNED,01-08-1980,34,6,3,3,300000,0,300000,124000,45000,23,26,0,0,0,TIER 1,0
149,0,0,27,0,2043,44900,30,1519,MC,0,14.6,MALE,SELF,OWNED,28-07-1973,41,5,5,0,333100,0,333100,,44900,,,3,0,0,TIER 2,0
150,0,0,27,0,2048,45000,30,1519,SC,0,14.6,MALE,SELF,OWNED,01-01-1977,37,2,2,0,,0,,,45000,,,0,0,0,TIER 2,0
151,0,0,27,0,1802,43900,30,2580,MC,0,9.25,MALE,SELF,OWNED,01-06-1976,38,2,2,0,,0,,,43900,,,0,0,0,TIER 2,0
152,0,0,22,0,2035,38900,24,1774,MC,1,12.75,MALE,SELF,OWNED,19-05-1988,26,1,1,0,,0,,,38900,,,0,0,0,TIER 2,0
153,0,0,24,0,1663,35000,24,1774,SC,0,7,MALE,SELF,OWNED,15-07-1981,33,1,1,0,,0,,,35000,,,0,0,0,TIER 2,0
154,0,2,27,3,1586,35900,30,3008,SC,0,13,MALE,SELF,OWNED,10-07-1970,44,0,0,0,,0,,,,,,0,0,0,TIER 2,0
155,0,1,28,1,2009,43900,30,3054,MC,0,14.9,MALE,SELF,OWNED,22-10-1991,22,1,1,0,,0,,,43900,,,0,0,0,TIER 2,0
156,0,1,32,2,1867,46100,36,1519,MC,1,15.25,MALE,SELF,OWNED,14-08-1981,32,20,15,5,1373551,0,3904932,212756,46100,26,32,43,31,13,TIER 2,0
157,0,0,32,1,1148,28610,36,2446,MO,0,14.8,MALE,SAL,OWNED,18-09-1983,31,5,2,3,,0,,,28610,23,34,0,0,0,TIER 2,0
158,0,0,29,2,1917,41900,30,2446,MC,0,14.9,MALE,SAL,OWNED,03-08-1987,27,10,10,0,,0,,,41900,,,3,2,0,TIER 2,0
159,0,0,28,0,1922,42000,30,2446,MC,0,14.9,MALE,SELF,OWNED,01-06-1974,40,1,1,0,,0,,,42000,,,3,2,1,TIER 2,0
160,0,0,32,1,1789,44400,36,1510,SC,0,15,FEMALE,SELF,RENT,10-10-1966,47,1,1,0,,0,,,44400,,,0,0,0,TIER 2,0
161,0,0,33,0,1424,35900,36,2603,SC,1,14.25,MALE,SELF,OWNED,08-02-1977,37,1,1,0,,0,,,35900,,,0,0,0,TIER 2,0
162,0,0,32,0,1577,42200,36,2446,SC,3,11.5,FEMALE,SAL,OWNED,05-06-1984,29,1,1,0,,0,,,42200,,,0,0,0,TIER 2,0
163,0,1,31,2,1577,42200,36,2446,SC,3,11.5,FEMALE,SAL,OWNED,14-11-1986,27,3,3,0,,0,,,42200,,,0,0,0,TIER 2,0
164,0,2,32,2,1446,35900,36,2092,SC,0,15,MALE,SELF,OWNED,04-09-1976,38,5,1,4,,0,,,35900,,51,0,0,0,TIER 4,0
165,0,1,30,3,1788,39900,30,3086,SC,0,13.75,FEMALE,SELF,OWNED,10-03-1983,31,2,1,0,,0,,,39900,,,1,0,0,TIER 4,0
166,0,1,24,1,1924,34200,24,3177,MC,0,17.5,MALE,SELF,OWNED,13-03-1993,21,2,1,1,10416,0,,10416,34200,,34,11,11,6,TIER 4,0
